x_ms,baseline_ecdf,altered_ecdf,abs_gap
0.6630719999520807,0.0,0.002183406113537118,0.002183406113537118
0.7386150000456837,0.0011111111111111111,0.004272722069625191,0.0031616109585140793
0.7420169999932114,0.0015972847317046548,0.004366812227074236,0.002769527495369581
0.746390000131214,0.0022222222222222222,0.00584598113689472,0.0036237589146724974
0.7484719999411027,0.003276132538447387,0.006550218340611353,0.0032740858021639663
0.7485850001103245,0.0033333333333333335,0.00656492450110973,0.0032315911677763963
0.7545349999418249,0.0044444444444444444,0.007339274248459431,0.0028948298040149863
0.7652490003238199,0.005100192209286585,0.008733624454148471,0.003633432244861886
0.7726889998593833,0.005555555555555556,0.00934831929772683,0.0037927637421712743
0.7766220001030888,0.006666666666666667,0.009673264878441185,0.003006598211774518
0.79167600006258,0.007765659248544688,0.010917030567685589,0.0031513713191409012
0.7918419996713055,0.0077777777777777776,0.011017458541447492,0.0032396807636697143
0.7952850000947365,0.00846968509903381,0.013100436681222707,0.004630751582188897
0.7973710003170709,0.008888888888888889,0.013316385933780739,0.00442749704489185
0.7978070002536697,0.01,0.013361522007792514,0.0033615220077925136
0.7982920001268212,0.011111111111111112,0.013411730708144717,0.002300619597033605
0.7990680001057626,0.012222222222222223,0.013492064647538986,0.001269842425316763
0.816375999875163,0.013329431089599187,0.015283842794759825,0.001954411705160638
0.8164370001395582,0.013333333333333334,0.015431829845312056,0.0020984965119787216
0.8172759999069967,0.013368418842485776,0.017467248908296942,0.004098830065811167
0.8278090003841498,0.013808890579173009,0.019650655021834062,0.005841764442661053
0.843006999730278,0.014444444444444444,0.020459079630103953,0.006014635185659509
0.8444620002592274,0.015555555555555555,0.020536475227107186,0.004980919671551631
0.8489359997838619,0.016666666666666666,0.020774459926983083,0.004107793260316416
0.850863000323443,0.017777777777777778,0.020876962540706617,0.0030991847629288395
0.8518449999428412,0.01888888888888889,0.02092919788034265,0.0020403089914537605
0.8562580001125752,0.02,0.021163937851852194,0.0011639378518521933
0.8579780001127801,0.021111111111111112,0.02125542952090165,0.00014431840979053923
0.8585089999542106,0.022222222222222223,0.021283674905641002,0.000938547316581221
0.8609040000919777,0.023333333333333334,0.02141107174282233,0.0019222615905110027
0.8622159998594725,0.024444444444444446,0.021480860724512045,0.0029635837199324007
0.8635059998596262,0.025555555555555557,0.021549479476299142,0.004006076079256415
0.8680399996592314,0.02666666666666667,0.021790655760651687,0.004876010906014982
0.8688560001246515,0.026717400657573713,0.021834061135371178,0.004883339522202535
0.8859110002958914,0.027777777777777776,0.02381164968829062,0.003966128089487157
0.8876859997144493,0.02805029700030187,0.024017467248908297,0.004032829751393574
0.8931480001592718,0.028888888888888888,0.026002117761651084,0.0028867711272378034
0.8936949998314958,0.029533403932529543,0.026200873362445413,0.0033325305700841294
0.8940909997363633,0.03,0.026370142860690088,0.003629857139309911
0.898802999927284,0.030504437385396415,0.028384279475982533,0.002120157909413882
0.901448000149685,0.030787594631258113,0.03056768558951965,0.00021990904173846415
0.9037969998644257,0.03103906390680779,0.03275109170305677,0.0017120277962489779
0.9044700000231387,0.03111111111111111,0.03286114507605924,0.0017500339649481264
0.9146509996753593,0.03222222222222222,0.034526008505522024,0.0023037862832998024
0.916389999929379,0.03333333333333333,0.03481038116298619,0.0014770478296528555
0.9171490000881022,0.03387566986266731,0.034934497816593885,0.001058827953926575
0.9179450003102829,0.034444444444444444,0.03513528244908967,0.0006908380046452278
0.9196739997605619,0.035555555555555556,0.03557140860777163,1.5853052216074914e-05
0.9258049999516516,0.03633847961047998,0.03711790393013101,0.0007794243196510287
0.9283750000577129,0.03666666666666667,0.037315160371680665,0.0006484937050139986
0.9299100001953775,0.03777777777777778,0.03743297696796011,0.00034480080981767053
0.9413660000063828,0.03888888888888889,0.038312264774907186,0.0005766241139817038
0.9478899996793189,0.04,0.03881300442745402,0.001186995572545979
0.951698999870132,0.04111111111111111,0.03910535843231562,0.0020057526787954916
0.9528769996904884,0.042222222222222223,0.039195774013296186,0.0030264482089260372
0.9542519997012278,0.042904570507696506,0.039301310043668124,0.003603260464028382
0.9551159996590286,0.043333333333333335,0.03944157792788995,0.003891755405443384
